milis,ecg
1436875456728,504
1436875456732,504
1436875456736,504
1436875456740,504
1436875456744,504
1436875456748,504
1436875456752,504
1436875456756,504
1436875456760,504
1436875456764,504
1436875456768,504
1436875456772,504
1436875456776,504
1436875456780,504
1436875456784,504
1436875456788,505
1436875456792,505
1436875456796,506
1436875456800,506
1436875456804,1022
1436875456808,506
1436875456812,506
1436875456816,506
1436875456820,1022
1436875456824,506
1436875456828,506
1436875456832,506
1436875456836,1022
1436875456840,506
1436875456844,506
1436875456848,506
1436875456852,505
1436875456856,505
1436875456860,505
1436875456864,505
1436875456868,505
1436875456872,505
1436875456876,506
1436875456880,506
1436875456884,1022
1436875456888,506
1436875456892,504
1436875456896,500
1436875456900,1023
1436875456904,489
1436875456908,486
1436875456912,486
1436875456916,493
1436875456920,506
1436875456924,525
1436875456928,1022
1436875456932,569
1436875456936,588
1436875456940,600
1436875456944,600
1436875456948,586
1436875456952,562
1436875456956,534
1436875456960,512
1436875456964,499
1436875456968,495
1436875456972,497
1436875456976,1023
1436875456980,501
1436875456984,501
1436875456988,501
1436875456992,501
1436875456996,501
1436875457000,501
1436875457004,500
1436875457008,500
1436875457012,500
1436875457016,500
1436875457020,500
1436875457024,501
1436875457028,501
1436875457032,501
1436875457036,501
1436875457040,501
1436875457044,502
1436875457048,502
1436875457052,502
1436875457056,1023
1436875457060,502
1436875457064,502
1436875457068,502
1436875457072,1022
1436875457076,502
1436875457080,502
1436875457084,503
1436875457088,1023
1436875457092,503
1436875457096,504
1436875457100,504
1436875457104,504
1436875457108,505
1436875457112,505
1436875457116,505
1436875457120,505
1436875457124,505
1436875457128,505
1436875457132,505
1436875457136,1022
1436875457140,506
1436875457144,506
1436875457148,506
1436875457152,1022
1436875457156,506
1436875457160,506
1436875457164,507
1436875457168,507
1436875457172,507
1436875457176,507
1436875457180,1022
1436875457184,505
1436875457188,504
1436875457192,503
1436875457196,1022
1436875457200,502
1436875457204,501
1436875457208,501
1436875457212,501
1436875457216,500
1436875457220,500
1436875457224,500
1436875457228,500
1436875457232,500
1436875457236,500
1436875457240,500
1436875457244,500
1436875457248,501
1436875457252,501
1436875457256,501
1436875457260,501
1436875457264,501
1436875457268,500
1436875457272,500
1436875457276,500
1436875457280,500
1436875457284,500
1436875457288,501
1436875457292,501
1436875457296,501
1436875457300,501
1436875457304,501
1436875457308,501
1436875457312,501
1436875457316,501
1436875457320,501
1436875457324,501
1436875457328,502
1436875457332,502
1436875457336,502
1436875457340,1022
1436875457344,501
1436875457348,501
1436875457352,501
1436875457356,501
1436875457360,501
1436875457364,501
1436875457368,501
1436875457372,501
1436875457376,501
1436875457380,501
1436875457384,501
1436875457388,501
1436875457392,501
1436875457396,501
1436875457400,501
1436875457404,501
1436875457408,501
1436875457412,501
1436875457416,502
1436875457420,502
1436875457424,502
1436875457428,502
1436875457432,1022
1436875457436,502
1436875457440,501
1436875457444,501
1436875457448,501
1436875457452,501
1436875457456,501
1436875457460,500
1436875457464,500
1436875457468,501
1436875457472,501
1436875457476,501
1436875457480,501
1436875457484,501
1436875457488,501
1436875457492,501
1436875457496,501
1436875457500,502
1436875457504,502
1436875457508,502
1436875457512,1022
1436875457516,502
1436875457520,502
1436875457524,502
1436875457528,1022
1436875457532,502
1436875457536,502
1436875457540,502
1436875457544,1022
1436875457548,502
1436875457552,502
1436875457556,502
1436875457560,1022
1436875457564,502
1436875457568,501
1436875457572,501
1436875457576,1022
1436875457580,502
1436875457584,503
1436875457588,503
1436875457592,1023
1436875457596,502
1436875457600,498
1436875457604,493
1436875457608,488
1436875457612,483
1436875457616,483
1436875457620,488
1436875457624,1023
1436875457628,516
1436875457632,537
1436875457636,560
1436875457640,1022
1436875457644,598
1436875457648,601
1436875457652,591
1436875457656,569
1436875457660,541
1436875457664,516
1436875457668,500
1436875457672,494
1436875457676,495
1436875457680,497
1436875457684,1023
1436875457688,499
1436875457692,498
1436875457696,498
1436875457700,1022
1436875457704,498
1436875457708,498
1436875457712,498
1436875457716,1022
1436875457720,498
1436875457724,499
1436875457728,499
1436875457732,1023
1436875457736,499
1436875457740,499
1436875457744,499
1436875457748,1023
1436875457752,499
1436875457756,499
1436875457760,500
1436875457764,500
1436875457768,500
1436875457772,500
1436875457776,500
1436875457780,500
1436875457784,500
1436875457788,500
1436875457792,501
1436875457796,501
1436875457800,502
1436875457804,503
1436875457808,503
1436875457812,1023
1436875457816,503
1436875457820,503
1436875457824,503
1436875457828,1023
1436875457832,504
1436875457836,504
1436875457840,504
1436875457844,504
1436875457848,504
1436875457852,505
1436875457856,505
1436875457860,505
1436875457864,506
1436875457868,506
1436875457872,506
1436875457876,1022
1436875457880,506
1436875457884,505
1436875457888,505
1436875457892,504
1436875457896,504
1436875457900,503
1436875457904,503
1436875457908,1022
1436875457912,502
1436875457916,502
1436875457920,502
1436875457924,501
1436875457928,501
1436875457932,501
1436875457936,501
1436875457940,501
1436875457944,501
1436875457948,501
1436875457952,1022
1436875457956,502
1436875457960,502
1436875457964,502
1436875457968,1022
1436875457972,502
1436875457976,503
1436875457980,503
1436875457984,1023
1436875457988,503
1436875457992,503
1436875457996,503
1436875458000,1023
1436875458004,503
1436875458008,503
1436875458012,503
1436875458016,1023
1436875458020,503
1436875458024,504
1436875458028,504
1436875458032,504
1436875458036,503
1436875458040,504
1436875458044,504
1436875458048,504
1436875458052,504
1436875458056,504
1436875458060,504
1436875458064,504
1436875458068,504
1436875458072,504
1436875458076,504
1436875458080,504
1436875458084,503
1436875458088,503
1436875458092,503
1436875458096,1023
1436875458100,503
1436875458104,503
1436875458108,503
1436875458112,1023
1436875458116,503
1436875458120,503
1436875458124,503
1436875458128,1023
1436875458132,503
1436875458136,503
1436875458140,503
1436875458144,1023
1436875458148,502
1436875458152,502
1436875458156,502
1436875458160,1022
1436875458164,503
1436875458168,503
1436875458172,503
1436875458176,503
1436875458180,503
1436875458184,503
1436875458188,1023
1436875458192,503
1436875458196,504
1436875458200,504
1436875458204,504
1436875458208,505
1436875458212,505
1436875458216,505
1436875458220,505
1436875458224,505
1436875458228,505
1436875458232,505
1436875458236,505
1436875458240,505
1436875458244,504
1436875458248,504
1436875458252,505
1436875458256,505
1436875458260,505
1436875458264,505
1436875458268,505
1436875458272,505
1436875458276,505
1436875458280,506
1436875458284,1022
1436875458288,506
1436875458292,505
1436875458296,503
1436875458300,1022
1436875458304,493
1436875458308,489
1436875458312,487
1436875458316,1023
1436875458320,501
1436875458324,516
1436875458328,536
1436875458332,1023
1436875458336,581
1436875458340,598
1436875458344,604
1436875458348,596
1436875458352,576
1436875458356,549
1436875458360,524
1436875458364,1022
1436875458368,499
1436875458372,498
1436875458376,500
1436875458380,1022
1436875458384,502
1436875458388,501
1436875458392,501
1436875458396,501
1436875458400,501
1436875458404,500
1436875458408,500
1436875458412,500
1436875458416,500
1436875458420,501
1436875458424,501
1436875458428,501
1436875458432,501
1436875458436,501
1436875458440,501
1436875458444,501
1436875458448,501
1436875458452,501
1436875458456,501
1436875458460,502
1436875458464,502
1436875458468,502
1436875458472,1022
1436875458476,502
1436875458480,502
1436875458484,503
1436875458488,1023
1436875458492,504
1436875458496,504
1436875458500,504
1436875458504,504
1436875458508,504
1436875458512,504
1436875458516,504
1436875458520,504
1436875458524,505
1436875458528,505
1436875458532,504
1436875458536,504
1436875458540,504
1436875458544,505
1436875458548,505
1436875458552,1022
1436875458556,506
1436875458560,506
1436875458564,506
1436875458568,1022
1436875458572,506
1436875458576,505
1436875458580,505
1436875458584,504
1436875458588,503
1436875458592,503
1436875458596,502
1436875458600,501
1436875458604,501
1436875458608,500
1436875458612,500
1436875458616,500
1436875458620,500
1436875458624,499
1436875458628,499
1436875458632,1023
1436875458636,499
1436875458640,499
1436875458644,499
1436875458648,1023
1436875458652,500
1436875458656,500
1436875458660,500
1436875458664,500
1436875458668,501
1436875458672,501
1436875458676,501
1436875458680,501
1436875458684,501
1436875458688,501
1436875458692,501
1436875458696,501
1436875458700,501
1436875458704,501
1436875458708,501
1436875458712,501
1436875458716,501
1436875458720,502
1436875458724,1022
1436875458728,501
1436875458732,501
1436875458736,501
1436875458740,501
1436875458744,501
1436875458748,501
1436875458752,502
1436875458756,1022
1436875458760,502
1436875458764,502
1436875458768,502
1436875458772,1022
1436875458776,502
1436875458780,502
1436875458784,502
1436875458788,501
1436875458792,502
1436875458796,502
1436875458800,502
1436875458804,1023
1436875458808,503
1436875458812,502
1436875458816,502
1436875458820,1022
1436875458824,501
1436875458828,501
1436875458832,502
1436875458836,1022
1436875458840,502
1436875458844,502
1436875458848,501
1436875458852,1022
1436875458856,502
1436875458860,502
1436875458864,502
1436875458868,1022
1436875458872,501
1436875458876,501
1436875458880,501
1436875458884,501
1436875458888,501
1436875458892,502
1436875458896,502
1436875458900,1022
1436875458904,503
1436875458908,503
1436875458912,503
1436875458916,1023
1436875458920,504
1436875458924,504
1436875458928,505
1436875458932,504
1436875458936,504
1436875458940,504
1436875458944,1023
1436875458948,503
1436875458952,503
1436875458956,503
1436875458960,1023
1436875458964,503
1436875458968,503
1436875458972,503
1436875458976,1023
1436875458980,503
1436875458984,503
1436875458988,504
1436875458992,504
1436875458996,504
1436875459000,504
1436875459004,503
1436875459008,500
1436875459012,495
1436875459016,490
1436875459020,487
1436875459024,1022
1436875459028,491
1436875459032,501
1436875459036,517
1436875459040,537
1436875459044,559
1436875459048,581
1436875459052,597
1436875459056,601
1436875459060,592
1436875459064,570
1436875459068,543
1436875459072,1023
1436875459076,504
1436875459080,498
1436875459084,498
1436875459088,500
1436875459092,501
1436875459096,501
1436875459100,500
1436875459104,500
1436875459108,500
1436875459112,500
1436875459116,500
1436875459120,500
1436875459124,500
1436875459128,500
1436875459132,500
1436875459136,500
1436875459140,500
1436875459144,500
1436875459148,500
1436875459152,500
1436875459156,500
1436875459160,500
1436875459164,501
1436875459168,501
1436875459172,501
1436875459176,502
1436875459180,502
1436875459184,501
1436875459188,501
1436875459192,501
1436875459196,501
1436875459200,502
1436875459204,502
1436875459208,502
1436875459212,1023
1436875459216,503
1436875459220,503
1436875459224,504
1436875459228,504
1436875459232,504
1436875459236,504
1436875459240,504
1436875459244,505
1436875459248,505
1436875459252,505
1436875459256,505
1436875459260,1022
1436875459264,506
1436875459268,506
1436875459272,507
1436875459276,1023
1436875459280,507
1436875459284,507
1436875459288,507
1436875459292,1023
1436875459296,507
1436875459300,506
1436875459304,506
1436875459308,505
1436875459312,505
1436875459316,504
1436875459320,503
1436875459324,1023
1436875459328,503
1436875459332,502
1436875459336,503
1436875459340,1022
1436875459344,503
1436875459348,503
1436875459352,503
1436875459356,1023
1436875459360,503
1436875459364,503
1436875459368,503
